7.71000000e+02 3.29827784e-09 -1.65782807e-05 1.94567595e-04 -7.55745837e-04 3.29961579e-08 -7.72015780e-07 -1.77279483e-01 1.55461231e-01 -1.79100474e-01 1.56635902e-01 1.77284669e-01 -1.55462175e-01 1.79095280e-01 -1.56635144e-01
7.72000000e+02 2.97294278e-09 -7.48590632e-06 2.03135594e-03 -8.31884222e-04 3.19865530e-08 -7.66793949e-07 -1.78653116e-01 1.66327219e-01 -1.80387211e-01 1.67620590e-01 1.78658137e-01 -1.66328140e-01 1.80382191e-01 -1.67619851e-01
7.73000000e+02 2.64760773e-09 1.60646811e-06 3.86814429e-03 -9.08022608e-04 3.09769481e-08 -7.61572118e-07 -1.80026748e-01 1.77193206e-01 -1.81673948e-01 1.78605277e-01 1.80031605e-01 -1.77194104e-01 1.81669101e-01 -1.78604559e-01
7.74000000e+02 2.32227267e-09 1.06988425e-05 5.70493264e-03 -9.84160993e-04 2.99673431e-08 -7.56350287e-07 -1.81400381e-01 1.88059194e-01 -1.82960684e-01 1.89589965e-01 1.81405073e-01 -1.88060069e-01 1.82956012e-01 -1.89589266e-01
7.75000000e+02 1.99693761e-09 1.97912170e-05 7.54172099e-03 -1.06029938e-03 2.89577382e-08 -7.51128455e-07 -1.82774013e-01 1.98925182e-01 -1.84247421e-01 2.00574652e-01 1.82778541e-01 -1.98926034e-01 1.84242922e-01 -2.00573973e-01
7.76000000e+02 1.67160255e-09 2.88835914e-05 9.37850934e-03 -1.13643776e-03 2.79481333e-08 -7.45906624e-07 -1.84147646e-01 2.09791170e-01 -1.85534158e-01 2.11559340e-01 1.84152009e-01 -2.09791998e-01 1.85529832e-01 -2.11558681e-01
7.77000000e+02 1.34626750e-09 3.79759658e-05 1.12152977e-02 -1.21257615e-03 2.69385284e-08 -7.40684793e-07 -1.85521279e-01 2.20657158e-01 -1.86820895e-01 2.22544028e-01 1.85525478e-01 -2.20657963e-01 1.86816743e-01 -2.22543388e-01
7.78000000e+02 1.02093244e-09 4.70683403e-05 1.30520860e-02 -1.28871453e-03 2.59289234e-08 -7.35462962e-07 -1.86894911e-01 2.31523146e-01 -1.88107632e-01 2.33528715e-01 1.86898946e-01 -2.31523927e-01 1.88103653e-01 -2.33528096e-01
7.79000000e+02 6.95597381e-10 5.61607147e-05 1.48888744e-02 -1.36485292e-03 2.49193185e-08 -7.30241131e-07 -1.88268544e-01 2.42389134e-01 -1.89394369e-01 2.44513403e-01 1.88272414e-01 -2.42389892e-01 1.89390563e-01 -2.44512803e-01
7.80000000e+02 3.70262323e-10 6.52530891e-05 1.67256627e-02 -1.44099130e-03 2.39097136e-08 -7.25019299e-07 -1.89642176e-01 2.53255122e-01 -1.90681105e-01 2.55498091e-01 1.89645882e-01 -2.53255856e-01 1.90677474e-01 -2.55497510e-01
7.81000000e+02 -1.21148999e-10 7.90307948e-05 1.95194670e-02 -1.55595043e-03 2.24080764e-08 -7.17141048e-07 -1.91763575e-01 2.69792787e-01 -1.92672321e-01 2.72214757e-01 1.91767031e-01 -2.69793486e-01 1.92668953e-01 -2.72214207e-01
7.82000000e+02 -6.12560322e-10 9.28085005e-05 2.23132713e-02 -1.67090956e-03 2.09064392e-08 -7.09262796e-07 -1.93884974e-01 2.86330453e-01 -1.94663537e-01 2.88931423e-01 1.93888180e-01 -2.86331116e-01 1.94660432e-01 -2.88930904e-01
7.83000000e+02 -1.10397164e-09 1.06586206e-04 2.51070756e-02 -1.78586869e-03 1.94048020e-08 -7.01384545e-07 -1.96006373e-01 3.02868119e-01 -1.96654753e-01 3.05648090e-01 1.96009330e-01 -3.02868746e-01 1.96651912e-01 -3.05647601e-01
7.84000000e+02 -1.59538297e-09 1.20363912e-04 2.79008799e-02 -1.90082782e-03 1.79031648e-08 -6.93506294e-07 -1.98127772e-01 3.19405784e-01 -1.98645969e-01 3.22364756e-01 1.98130479e-01 -3.19406376e-01 1.98643391e-01 -3.22364298e-01
7.85000000e+02 -2.08679429e-09 1.34141618e-04 3.06946842e-02 -2.01578695e-03 1.64015275e-08 -6.85628042e-07 -2.00249171e-01 3.35943450e-01 -2.00637185e-01 3.39081422e-01 2.00251628e-01 -3.35944006e-01 2.00634870e-01 -3.39080994e-01
7.86000000e+02 -2.57820561e-09 1.47919323e-04 3.34884885e-02 -2.13074608e-03 1.48998903e-08 -6.77749791e-07 -2.02370570e-01 3.52481116e-01 -2.02628401e-01 3.55798089e-01 2.02372778e-01 -3.52481636e-01 2.02626350e-01 -3.55797691e-01
7.87000000e+02 -3.06961693e-09 1.61697029e-04 3.62822927e-02 -2.24570520e-03 1.33982531e-08 -6.69871539e-07 -2.04491969e-01 3.69018781e-01 -2.04619616e-01 3.72514755e-01 2.04493927e-01 -3.69019266e-01 2.04617829e-01 -3.72514388e-01
7.88000000e+02 -3.56102826e-09 1.75474735e-04 3.90760970e-02 -2.36066433e-03 1.18966159e-08 -6.61993288e-07 -2.06613368e-01 3.85556447e-01 -2.06610832e-01 3.89231422e-01 2.06615076e-01 -3.85556896e-01 2.06609308e-01 -3.89231085e-01
7.89000000e+02 -4.05243958e-09 1.89252440e-04 4.18699013e-02 -2.47562346e-03 1.03949787e-08 -6.54115036e-07 -2.08734767e-01 4.02094113e-01 -2.08602048e-01 4.05948088e-01 2.08736225e-01 -4.02094526e-01 2.08600788e-01 -4.05947781e-01
